2023-06-02 11:14:36,175 [main] INFO  [com.boot.log.SpringBootLogApplication] StartupInfoLogger.java:51 - Starting SpringBootLogApplication using Java 17.0.2 with PID 21344 (/Users/lizhifu/Documents/workspace/spring-learn/spring-boot-log/target/classes started by lizhifu in /Users/lizhifu/Documents/workspace/spring-learn)
2023-06-02 11:14:36,181 [main] INFO  [com.boot.log.SpringBootLogApplication] SpringApplication.java:633 - No active profile set, falling back to 1 default profile: "default"
2023-06-02 11:14:36,747 [main] WARN  [o.s.core.LocalVariableTableParameterNameDiscoverer] LocalVariableTableParameterNameDiscoverer.java:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.boot.log.aspectj.LogParamAspectj
2023-06-02 11:14:37,136 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:108 - Tomcat initialized with port(s): 8080 (http)
2023-06-02 11:14:37,143 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Initializing ProtocolHandler ["http-nio-8080"]
2023-06-02 11:14:37,144 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2023-06-02 11:14:37,145 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-02 11:14:37,219 [main] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/learn]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2023-06-02 11:14:37,219 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] ServletWebServerApplicationContext.java:291 - Root WebApplicationContext: initialization completed in 988 ms
2023-06-02 11:14:37,629 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Starting ProtocolHandler ["http-nio-8080"]
2023-06-02 11:14:37,644 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 8080 (http) with context path '/learn'
2023-06-02 11:14:37,651 [main] INFO  [com.boot.log.SpringBootLogApplication] StartupInfoLogger.java:57 - Started SpringBootLogApplication in 2.424 seconds (process running for 3.346)
2023-06-02 11:15:01,092 [http-nio-8080-exec-1] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/learn]] DirectJDKLog.java:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-02 11:15:01,093 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:532 - Initializing Servlet 'dispatcherServlet'
2023-06-02 11:15:01,094 [http-nio-8080-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet] FrameworkServlet.java:554 - Completed initialization in 0 ms
2023-06-02 11:15:01,132 [http-nio-8080-exec-1] WARN  [o.s.core.LocalVariableTableParameterNameDiscoverer] LocalVariableTableParameterNameDiscoverer.java:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.boot.log.controller.LogController
2023-06-02 11:15:01,160 [http-nio-8080-exec-1] WARN  [o.s.core.LocalVariableTableParameterNameDiscoverer] LocalVariableTableParameterNameDiscoverer.java:123 - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.boot.log.controller.LogController
2023-06-02 11:15:01,178 [http-nio-8080-exec-1] INFO  [com.boot.log.aspectj.LogParamAspectj] LogParamAspectj.java:73 - afterReturning Request Log Info : LogEntity(threadId=32, threadName=http-nio-8080-exec-1, ip=0:0:0:0:0:0:0:1, url=http://localhost:8080/learn/log, httpMethod=GET, classMethod=com.boot.log.controller.LogController.log, requestParams={msg=hello}, result=hello, timeCost=26, os=MAC_OS_X, browser=CHROME11, userAgent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36)
2023-06-02 11:15:01,181 [http-nio-8080-exec-1] INFO  [com.boot.log.aspectj.LogExecutionAspectj] LogExecutionAspectj.java:78 - Request Log Info : LogEntity(threadId=32, threadName=http-nio-8080-exec-1, ip=0:0:0:0:0:0:0:1, url=http://localhost:8080/learn/log, httpMethod=GET, classMethod=com.boot.log.controller.LogController.log, requestParams={msg=hello}, result=hello, timeCost=34, os=MAC_OS_X, browser=CHROME11, userAgent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36)
2023-06-02 11:15:01,181 [http-nio-8080-exec-1] INFO  [com.boot.log.aspectj.LogAspectj] LogAspectj.java:78 - Request Log Info : LogEntity(threadId=32, threadName=http-nio-8080-exec-1, ip=0:0:0:0:0:0:0:1, url=http://localhost:8080/learn/log, httpMethod=GET, classMethod=com.boot.log.controller.LogController.log, requestParams={msg=hello}, result=hello, timeCost=35, os=MAC_OS_X, browser=CHROME11, userAgent=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36)
